id,ticker,adjusted,Volume,Wap_volume,Open_price,Close_price,High_price,Low_price,Timestamp,Transactions
298,SPY,True,74837629.0,378.234,376.56,381.24,381.7,373.8,2022-07-01 04:00:00,606017
299,SPY,True,81406965.0,377.5154,375.88,381.96,381.98,372.9,2022-07-05 04:00:00,649490
300,SPY,True,70121444.0,382.5043,382.11,383.25,385.87,379.6,2022-07-06 04:00:00,619249
301,SPY,True,64511919.0,387.6265,385.12,388.99,389.83,383.267,2022-07-07 04:00:00,470171
302,SPY,True,72385765.0,388.654,387.27,388.67,390.64,385.66,2022-07-08 04:00:00,513500
303,SPY,True,58366945.0,384.8712,385.85,384.23,386.87,383.5,2022-07-11 04:00:00,475888
304,SPY,True,62219178.0,382.6181,383.65,380.83,386.16,378.99,2022-07-12 04:00:00,514047
305,SPY,True,84198649.0,378.8276,375.1,378.83,381.92,374.658,2022-07-13 04:00:00,677546
306,SPY,True,89704819.0,375.5832,373.61,377.91,379.0498,371.04,2022-07-14 04:00:00,642061
307,SPY,True,79026583.0,383.3245,382.55,385.13,385.25,380.54,2022-07-15 04:00:00,490641
308,SPY,True,63203626.0,385.091,388.38,381.95,389.09,380.66,2022-07-18 04:00:00,492280
309,SPY,True,78505972.0,389.3658,386.08,392.27,392.87,385.39,2022-07-19 04:00:00,536188
310,SPY,True,71843769.0,394.171,392.47,394.77,396.26,391.03,2022-07-20 04:00:00,529990
311,SPY,True,64903856.0,396.1218,394.16,398.79,398.84,391.63,2022-07-21 04:00:00,524202
312,SPY,True,72197322.0,395.9432,398.92,395.09,400.18,392.75,2022-07-22 04:00:00,529345
313,SPY,True,53599485.0,395.0443,395.75,395.57,396.47,393.21,2022-07-25 04:00:00,440037
314,SPY,True,52946393.0,391.8555,393.84,390.89,394.06,389.95,2022-07-26 04:00:00,438456
315,SPY,True,82042106.0,398.2952,394.36,401.04,402.88,394.05,2022-07-27 04:00:00,597549
316,SPY,True,73962563.0,403.6443,401.89,406.07,406.8,398.15,2022-07-28 04:00:00,570078
317,SPY,True,87003672.0,410.6717,407.58,411.99,413.03,406.77,2022-07-29 04:00:00,546745
318,SPY,True,69972971.0,411.0756,409.15,410.77,413.41,408.4,2022-08-01 04:00:00,518949
319,SPY,True,63435418.0,409.6317,409.12,408.06,413.0,406.82,2022-08-02 04:00:00,505800
320,SPY,True,67810555.0,413.2696,410.3,414.45,415.68,410.0,2022-08-03 04:00:00,465611
321,SPY,True,45656574.0,414.0805,414.37,414.17,415.09,412.44,2022-08-04 04:00:00,365311
322,SPY,True,56814929.0,412.2923,409.66,413.47,414.15,409.6,2022-08-05 04:00:00,455952
323,SPY,True,54025965.0,414.4226,415.25,412.99,417.62,411.83,2022-08-08 04:00:00,422674
324,SPY,True,44931772.0,411.3326,412.22,411.35,412.75,410.22,2022-08-09 04:00:00,367151
325,SPY,True,68580712.0,418.1864,418.78,419.99,420.14,416.72,2022-08-10 04:00:00,476082
326,SPY,True,59489704.0,421.5761,422.99,419.99,424.95,419.21,2022-08-11 04:00:00,444585
327,SPY,True,61626042.0,424.556,422.03,427.1,427.21,421.03,2022-08-12 04:00:00,398232
328,SPY,True,53892880.0,427.6364,424.765,428.86,429.41,424.71,2022-08-15 04:00:00,375069
329,SPY,True,59289039.0,429.3083,427.73,429.7,431.73,426.88,2022-08-16 04:00:00,411675
330,SPY,True,62805394.0,426.9901,425.91,426.65,429.5,424.54,2022-08-17 04:00:00,453971
331,SPY,True,49023206.0,427.1517,426.86,427.89,428.61,425.5,2022-08-18 04:00:00,332724
332,SPY,True,67670402.0,423.0959,424.98,422.14,425.26,421.22,2022-08-19 04:00:00,439875
333,SPY,True,77438140.0,415.0482,417.05,413.35,417.23,412.4,2022-08-22 04:00:00,484998
334,SPY,True,49105249.0,413.0961,412.9,412.35,415.42,411.77,2022-08-23 04:00:00,390369
335,SPY,True,49159304.0,413.3834,412.11,413.67,415.1101,411.39,2022-08-24 04:00:00,335697
